Device	IP Address	MAC Address	Interface
smc-core-c65-1	10.111.0.1	0000.0c07.ac6c	Vlan108
smc-core-c65-1	10.111.0.10	001b.1700.0110	Vlan108
smc-core-c65-1	10.111.0.100	8cdc.d423.1249	Vlan108
smc-core-c65-1	10.111.0.101	8851.fb5e.b7c9	Vlan108
smc-core-c65-1	10.111.0.102	d89e.f380.864d	Vlan108
smc-core-c65-1	10.111.0.103	d89e.f383.305e	Vlan108
smc-core-c65-1	10.111.0.104	b885.849e.ceda	Vlan108
smc-core-c65-1	10.111.0.105	7446.a098.6fa6	Vlan108
smc-core-c65-1	10.111.0.106	6c2b.59dc.99f9	Vlan108
smc-core-c65-1	10.111.0.107	d89e.f376.78ab	Vlan108
smc-core-c65-1	10.111.0.108	d89e.f399.b1d5	Vlan108
smc-core-c65-1	10.111.0.109	54bf.6490.fe03	Vlan108
smc-core-c65-1	10.111.0.111	b885.849e.c876	Vlan108
smc-core-c65-1	10.111.0.112	b885.849e.cf10	Vlan108
smc-core-c65-1	10.111.0.113	1c66.6d8a.aade	Vlan108
smc-core-c65-1	10.111.0.114	b885.84b5.ece2	Vlan108
smc-core-c65-1	10.111.0.115	d89e.f399.9e37	Vlan108
smc-core-c65-1	10.111.0.116	54bf.6492.d324	Vlan108
smc-core-c65-1	10.111.0.117	6c2b.59fb.65af	Vlan108
smc-core-c65-1	10.111.0.118	6c2b.59f1.e0cc	Vlan108
smc-core-c65-1	10.111.0.119	0001.6cd8.309a	Vlan108
smc-core-c65-1	10.111.0.120	1c66.6d8a.7d22	Vlan108
smc-core-c65-1	10.111.0.121	b885.849e.9b4b	Vlan108
smc-core-c65-1	10.111.0.122	d89e.f380.8eab	Vlan108
smc-core-c65-1	10.111.0.123	6451.065f.736c	Vlan108
smc-core-c65-1	10.111.0.124	1c66.6d8a.6934	Vlan108
smc-core-c65-1	10.111.0.125	8cdc.d423.123f	Vlan108
smc-core-c65-1	10.111.0.126	d89e.f394.7d90	Vlan108
smc-core-c65-1	10.111.0.127	b885.849e.df3c	Vlan108
smc-core-c65-1	10.111.0.128	d89e.f380.87ed	Vlan108
smc-core-c65-1	10.111.0.129	68f7.28d4.0a65	Vlan108
smc-core-c65-1	10.111.0.130	d89e.f376.7d1a	Vlan108
smc-core-c65-1	10.111.0.131	b885.849f.121c	Vlan108
smc-core-c65-1	10.111.0.132	0001.6cd8.30fc	Vlan108
smc-core-c65-1	10.111.0.133	d89e.f383.249b	Vlan108
smc-core-c65-1	10.111.0.134	6451.065f.737b	Vlan108
smc-core-c65-1	10.111.0.135	8851.fb5c.2c7a	Vlan108
smc-core-c65-1	10.111.0.136	d89e.f382.a4f0	Vlan108
smc-core-c65-1	10.111.0.137	b885.849e.cdc8	Vlan108
smc-core-c65-1	10.111.0.138	b885.849e.9cc8	Vlan108
smc-core-c65-1	10.111.0.139	8cdc.d425.dffe	Vlan108
smc-core-c65-1	10.111.0.140	d89e.f394.7ea0	Vlan108
smc-core-c65-1	10.111.0.141	c434.6b6c.02a5	Vlan108
smc-core-c65-1	10.111.0.142	1c66.6d8a.69a9	Vlan108
smc-core-c65-1	10.111.0.143	b885.849f.1194	Vlan108
smc-core-c65-1	10.111.0.144	0024.7e0a.cb7f	Vlan108
smc-core-c65-1	10.111.0.145	7446.a0b2.7e8f	Vlan108
smc-core-c65-1	10.111.0.146	7446.a0b7.67f9	Vlan108
smc-core-c65-1	10.111.0.147	d89e.f394.6cc7	Vlan108
smc-core-c65-1	10.111.0.148	c434.6b64.6d7d	Vlan108
smc-core-c65-1	10.111.0.149	d89e.f380.87b1	Vlan108
smc-core-c65-1	10.111.0.150	7446.a0ad.5f8b	Vlan108
smc-core-c65-1	10.111.0.151	7446.a099.b22a	Vlan108
smc-core-c65-1	10.111.0.152	1c66.6d8a.7d2a	Vlan108
smc-core-c65-1	10.111.0.153	54ee.7567.d656	Vlan108
smc-core-c65-1	10.111.0.154	d89e.f381.e03f	Vlan108
smc-core-c65-1	10.111.0.155	7446.a0b7.67a0	Vlan108
smc-core-c65-1	10.111.0.156	6c2b.59f0.516b	Vlan108
smc-core-c65-1	10.111.0.157	b885.849e.aaa3	Vlan108
smc-core-c65-1	10.111.0.158	b885.84b5.ed0a	Vlan108
smc-core-c65-1	10.111.0.159	6c0b.846c.4d31	Vlan108
smc-core-c65-1	10.111.0.160	7446.a0c0.c078	Vlan108
smc-core-c65-1	10.111.0.161	6c0b.8492.59aa	Vlan108
smc-core-c65-1	10.111.0.162	54bf.6492.cf30	Vlan108
smc-core-c65-1	10.111.0.163	00d0.56c2.82c0	Vlan108
smc-core-c65-1	10.111.0.164	d89e.f392.0d17	Vlan108
smc-core-c65-1	10.111.0.165	7446.a0be.068b	Vlan108
